dataset,model,threshold,precision,recall,dice,tp,fp,fn
CRACKS reserve,U-Net,0.5175,0.2305098957150593,0.05659293060118195,0.09087497116255368,13196,44051,219978
CRACKS reserve,U-Net,0.5075,0.23043133628377038,0.05984372185578152,0.09501242637796616,13954,46602,219220
CRACKS reserve,U-Net,0.4975,0.23027382734530938,0.06333038846526629,0.09934006498442662,14767,49361,218407
CRACKS reserve,U-Net,0.4875,0.230209147051454,0.06698431214457873,0.10377349088601792,15619,52228,217555
CRACKS reserve,U-Net,0.4775,0.23005120620613637,0.07071114275176478,0.1081730059538454,16488,55183,216686
CRACKS reserve,U-Net,0.4675,0.23069715884347908,0.07497405371096263,0.11316931701585678,17482,58297,215692
CRACKS reserve,U-Net,0.4575,0.23112276757836892,0.07936562395464332,0.11815709159632747,18506,61564,214668
CRACKS reserve,U-Net,0.4475,0.23144285427278208,0.0839887809103931,0.12325081578773471,19584,65033,213590
CRACKS reserve,U-Net,0.4375,0.23276045219219285,0.08927238885982142,0.12904945676601418,20816,68615,212358
CRACKS reserve,U-Net,0.4275,0.23391391051615504,0.09457315138051413,0.13469008819720993,22052,72222,211122
CRACKS reserve,U-Net,0.4175,0.23491366343781964,0.10047003525264395,0.1407449684589967,23427,76299,209747
CRACKS reserve,U-Net,0.4075,0.23590448213778073,0.10676576290667056,0.14700151164438566,24895,80635,208279
CRACKS reserve,U-Net,0.3975,0.23708086785009863,0.11340887062880081,0.15342573843824156,26444,85096,206730
CRACKS reserve,U-Net,0.3875,0.23814893635061005,0.12045939941846004,0.15999225329448588,28088,89855,205086
CRACKS reserve,U-Net,0.3775,0.23973041334485962,0.12844485234202785,0.16726890920565418,29950,94982,203224
CRACKS reserve,U-Net,0.3675,0.24163448192625672,0.1373780953279525,0.17516719436105233,32033,100535,201141
CRACKS reserve,U-Net,0.3575,0.24323191268634445,0.14680453223772805,0.18309851621254425,34231,106503,198943
CRACKS reserve,U-Net,0.3475,0.24493055834035102,0.15716589328141217,0.1914701303043919,36647,112975,196527
CRACKS reserve,U-Net,0.3375,0.24675609603209428,0.16882242445555679,0.20048178780964798,39365,120165,193809
CRACKS reserve,U-Net,0.3275,0.2485321057823289,0.18152967311964455,0.20981149283990028,42328,127984,190846
CRACKS reserve,U-Net,0.3175,0.24962248299114276,0.19495741377683617,0.21892916912481789,45459,136652,187715
CRACKS reserve,U-Net,0.3075,0.2513882343298568,0.21046085755701752,0.2291111287483718,49074,146138,184100
CRACKS reserve,U-Net,0.2975,0.2530929623521248,0.2283702299570278,0.2400968503351211,53250,157147,179924
CRACKS reserve,U-Net,0.2875,0.25462126904200116,0.24852256254985547,0.25153495397850956,57949,169640,175225
CRACKS reserve,U-Net,0.2775,0.25575377250157694,0.2712652354036042,0.2632812337405565,63252,184064,169922
CRACKS reserve,U-Net,0.2675,0.2567267350522133,0.29785053222057345,0.2757638986775832,69451,201074,163723
