model,inline_local_index,valid_voxels,truth_voxels,predicted_voxels,tp,fp,fn,precision,recall,dice,iou,tolerant_precision_3px,tolerant_recall_3px,tolerant_dice_3px
dip_steered_coherence,105,4039,610,470,137,333,473,0.29148936170212764,0.22459016393442624,0.2537037037037037,0.14528101802757157,0.7787234042553192,0.4081967213114754,0.5356254959005554
dip_steered_coherence,106,2153,333,420,122,298,211,0.2904761904761905,0.3663663663663664,0.3240371845949535,0.19334389857369255,0.6976190476190476,0.5345345345345346,0.6052840787099096
dip_steered_coherence,107,5102,765,993,202,791,563,0.20342396777442096,0.26405228758169935,0.229806598407281,0.12982005141388175,0.5730110775427996,0.47581699346405226,0.5199105852997914
dip_steered_coherence,108,6176,1009,490,141,349,868,0.28775510204081634,0.13974231912784935,0.18812541694462975,0.10382916053019146,0.6428571428571429,0.2626362735381566,0.3729184582909859
dip_steered_coherence,109,4511,626,447,150,297,476,0.33557046979865773,0.23961661341853036,0.27958993476234856,0.16251354279523295,0.6644295302013423,0.46485623003194887,0.547008060152089
dip_steered_coherence,110,2971,517,355,126,229,391,0.35492957746478876,0.2437137330754352,0.2889908256880734,0.16890080428954424,0.6535211267605634,0.5609284332688588,0.6036950299245382
dip_steered_coherence,111,5973,937,873,230,643,707,0.2634593356242841,0.24546424759871932,0.2541436464088398,0.14556962025316456,0.6471935853379153,0.5069370330843116,0.5685429200915176
dip_steered_coherence,112,16452,2547,3526,746,2780,1801,0.21157118547929665,0.292893600314095,0.2456775893298205,0.14004129904261312,0.6738513896766875,0.6513545347467609,0.6624120075561455
dip_steered_coherence,113,6344,1013,862,239,623,774,0.27726218097447797,0.23593287265547877,0.25493333333333335,0.1460880195599022,0.6136890951276102,0.5538005923000987,0.5822087989806358
dip_steered_coherence,114,4113,666,776,198,578,468,0.2551546391752577,0.2972972972972973,0.27461858529819694,0.15916398713826366,0.5927835051546392,0.6786786786786787,0.6328297154822922
dip_steered_coherence,115,5294,859,389,172,217,687,0.442159383033419,0.20023282887077998,0.27564102564102566,0.15985130111524162,0.7275064267352185,0.37369033760186265,0.4937575754281647
dip_steered_coherence,116,5809,909,170,126,44,783,0.7411764705882353,0.13861386138613863,0.23354958294717332,0.1322140608604407,0.9764705882352941,0.2794279427942794,0.4345146696620877
dip_steered_coherence,117,3486,515,166,105,61,410,0.6325301204819277,0.20388349514563106,0.30837004405286345,0.18229166666666666,0.9457831325301205,0.3844660194174757,0.5466967983609297
dip_steered_coherence,118,1553,250,123,86,37,164,0.6991869918699187,0.344,0.46112600536193027,0.29965156794425085,1.0,0.748,0.8558352402745996
dip_steered_coherence,119,5454,873,317,148,169,725,0.4668769716088328,0.16953035509736541,0.24873949579831933,0.1420345489443378,0.7381703470031545,0.3734249713631157,0.49595610225470055
dip_steered_coherence,120,14861,2292,2782,512,2270,1780,0.18404025880661395,0.22338568935427575,0.2018131651556957,0.11223147742218326,0.6488138030194105,0.599912739965096,0.6234057704359665
dip_steered_coherence,121,4342,759,172,110,62,649,0.6395348837209303,0.14492753623188406,0.23630504833512353,0.13398294762484775,0.8604651162790697,0.308300395256917,0.45395202516712546
dip_steered_coherence,122,2283,437,108,91,17,346,0.8425925925925926,0.20823798627002288,0.3339449541284404,0.20044052863436124,1.0,0.40045766590389015,0.5718954248366013
dip_steered_coherence,123,5814,1067,262,147,115,920,0.5610687022900763,0.13776944704779756,0.22121896162528218,0.12436548223350254,0.7748091603053435,0.2689784442361762,0.39932829554995797
